t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz
3.904881,0.92424774,-0.14356662,1.41386700,-0.01335529,1.57078528,0.92424035,-0.02178436,0.02542602,0.02991421,0.00461259,-0.00004347,-0.02217942,0.48749121,0.32882981,0.53950669,3.14157960,0.00000073,1.57080365
3.946273,0.92339307,-0.14257991,1.41505182,-0.01317189,1.57078171,0.92337102,-0.02085379,0.02381984,0.02851357,0.00447167,-0.00000013,-0.02080901,0.48748931,0.32803846,0.53949920,3.14158520,0.00001463,1.57081830
3.987728,0.92252004,-0.14159322,1.41622925,-0.01298482,1.57078528,0.92251641,-0.02264030,0.02547447,0.03052479,0.00469583,0.00004301,-0.02228499,0.48749245,0.32723967,0.53949527,3.14159026,0.00001540,1.57079992
4.029080,0.92151862,-0.14047079,1.41757905,-0.01278308,1.57078528,0.92152601,-0.02269899,0.02531017,0.03009177,0.00460159,0.00000000,-0.02243310,0.48749645,0.32632519,0.53948386,-3.14157960,0.00003582,1.57078887
4.070657,0.92063832,-0.13949510,1.41872358,-0.01260334,1.57078528,0.92065674,-0.02103562,0.02385870,0.02804924,0.00423380,0.00000000,-0.02094814,0.48750398,0.32552831,0.53948802,-3.14158600,0.00002715,1.57077795
4.112252,0.91976905,-0.13848640,1.41991198,-0.01243095,1.57078528,0.91978371,-0.02213140,0.02538288,0.02899052,0.00443472,0.00000000,-0.02243831,0.48749623,0.32472304,0.53948776,-3.14158147,0.00003294,1.57078181
4.154155,0.91878963,-0.13737498,1.42114449,-0.01223287,1.57078528,0.91878229,-0.02205340,0.02512920,0.02940294,0.00448112,0.00000000,-0.02258041,0.48749862,0.32393263,0.53952356,3.14155963,-0.00002543,1.57080365
4.195706,0.91792768,-0.13638829,1.42236578,-0.01205681,1.57078528,0.91789836,-0.02096824,0.02357271,0.02873585,0.00410525,0.00000000,-0.02118829,0.48748946,0.32303519,0.53949631,-3.14159239,0.00001827,1.57082549
4.237248,0.91704732,-0.13541625,1.42353225,-0.01189175,1.57078528,0.91702169,-0.02267680,0.02479778,0.03001489,0.00437650,0.00000000,-0.02245528,0.48749120,0.32223721,0.53948414,-3.14157481,0.00004158,1.57082176
4.278698,0.91604596,-0.13433053,1.42485642,-0.01169367,1.57078528,0.91603500,-0.02292065,0.02526607,0.02911637,0.00446911,0.00000000,-0.02265527,0.48749707,0.32143633,0.53946335,-3.14155217,0.00007076,1.57080738
4.320143,0.91514730,-0.13332181,1.42594588,-0.01152128,1.57078528,0.91514367,-0.02160894,0.02400076,0.02599389,0.00416253,0.00000000,-0.02147668,0.48749925,0.32052599,0.53950675,3.14157960,0.00000089,1.57079992
4.361530,0.91425604,-0.13234246,1.42700958,-0.01134888,1.57078528,0.91425604,-0.02259643,0.02493038,0.02922605,0.00436099,0.00000000,-0.02272740,0.48750611,0.31972980,0.53954815,3.14152554,-0.00006883,1.57079619
4.403372,0.91326565,-0.13124572,1.42838156,-0.01115814,1.57078528,0.91325092,-0.02247989,0.02476535,0.03052363,0.00435528,0.00000000,-0.02274240,0.48750265,0.31892499,0.53950775,3.14157481,-0.00000493,1.57079992
4.444878,0.91238159,-0.13027735,1.42955518,-0.01098574,1.57078528,0.91235965,-0.02140557,0.02322657,0.02784871,0.00413815,0.00000000,-0.02153795,0.48749706,0.31803011,0.53948638,-3.14158813,0.00002411,1.57081830
4.485803,0.91150129,-0.12933101,1.43067765,-0.01081701,1.57078528,0.91147560,-0.02155804,0.02356916,0.02657218,0.00398117,0.00000000,-0.02155839,0.48750089,0.31724477,0.53947914,-3.14158360,0.00002996,1.57082203
4.526888,0.91061360,-0.12834430,1.43173409,-0.01065929,1.57078528,0.91059166,-0.02171776,0.02381157,0.02638834,0.00400444,0.00000000,-0.02154041,0.48750002,0.31644830,0.53952454,3.14154791,-0.00003956,1.57081830
4.568221,0.90971130,-0.12736861,1.43285286,-0.01048689,1.57078528,0.90970027,-0.02327882,0.02500928,0.02926536,0.00416853,0.00000000,-0.02292506,0.48750237,0.31564450,0.53953475,3.14153007,-0.00006265,1.57080738
4.609603,0.90868795,-0.12627552,1.43415499,-0.01031449,1.57078528,0.90869528,-0.02316066,0.02493177,0.03024389,0.00402963,0.00000000,-0.02298320,0.48750332,0.31473260,0.53951947,3.14155244,-0.00003369,1.57078887
4.651060,0.90779293,-0.12530351,1.43535805,-0.01015310,1.57078528,0.90779656,-0.02152495,0.02307121,0.02731591,0.00380110,0.00000000,-0.02174520,0.48749602,0.31392634,0.53948434,-3.14158999,0.00002124,1.57079260
