frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
37,4.832901,1786367579.383140,2620,50000,1,0,0,0.517035,upperArm_Link,0,0.649009,-0.606687,0.328363,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.022763,0.028123,0.000000,0,,0.000000,0.127344,1,0.056841,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.000000,0.512795,,0,1.000000,SAFE,1,current,50000,156.6365,0.84170973,-0.40859997,1.04885793,-0.10759427,1.57083297,0.84184915,0.18705357,-0.07899504,-0.11446863,-0.03029874,0.00002803,0.18633466
38,4.990537,1786367579.539795,2609,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.008086,0.009511,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,127.5474,0.86032128,-0.42028633,1.03332758,-0.11224166,1.57083297,0.86039096,0.11806656,-0.07413503,-0.09852026,-0.02948176,0.00000000,0.11762417
39,5.116748,1786367579.667359,2732,50000,0,0,0,,,,,,,,,,,reference_not_armed,WAIT_REFERENCE_START,0,0,0,0,0.000000,0.399997,0.001719,0.002050,0.000000,0,,,,,,0,,SAFE,SAFE,,0.000000,,,1,1.000000,SAFE,0,current,50000,126.9228,0.86779678,-0.42700249,1.02601349,-0.11600872,1.57083666,0.86780411,0.05923013,-0.05321375,-0.05795124,-0.02984736,0.00002928,0.05873614
40,5.250059,1786367579.794299,2656,50000,0,0,0,,,,,,,,,,,no_stable_track,REFERENCE_ARMED,1,0,0,0,0.000000,0.399997,0.000094,0.000180,1.005039,25,0.028152,,,,,0,,SAFE,SAFE,,0.399951,,,1,1.000000,SAFE,0,current,50000,143.9042,0.86971146,-0.42890984,1.02406204,-0.11775838,1.57083666,0.86967474,0.01436251,-0.01430752,-0.01463838,-0.01312463,0.00000000,0.01403210
41,5.392372,1786367579.938233,2731,50000,0,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,0,0,0,0.000000,0.399997,0.000018,0.000051,1.005039,25,0.028237,,,,,0,,SAFE,SAFE,,0.399970,,,1,1.000000,SAFE,0,current,50000,132.2318,0.86979944,-0.42900524,1.02397776,-0.11784274,1.57084036,0.86980313,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
42,5.524581,1786367580.070493,2733,50000,0,0,0,,,,,,,,,,,reference_step_jump,RUNNING,1,5,5,1,0.171240,0.399967,0.000258,0.000598,1.212231,30,0.035888,,,,,0,,SAFE,SAFE,,0.399480,,,1,1.000000,SAFE,0,current,50000,132.3724,0.86957574,-0.42860174,1.02465260,-0.11774370,1.57084036,0.86967111,-0.00169199,0.00305193,0.00510436,0.00074912,0.00000000,-0.00099860
43,5.652346,1786367580.202883,2752,50000,0,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,10,5,0,0.378422,0.398591,0.000046,0.000106,1.379146,34,0.040128,,,,,0,,SAFE,SAFE,,0.398154,,,1,1.000000,SAFE,0,current,50000,128.7037,0.86847532,-0.42694011,1.02720189,-0.11677168,1.57084405,0.86848998,-0.00861288,0.01300539,0.01995303,0.00760794,0.00002892,-0.00924454
44,5.784056,1786367580.331615,2614,50000,0,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,13,3,0,0.503548,0.396718,0.000165,0.000396,1.507116,37,0.040924,,,,,0,,SAFE,SAFE,,0.396191,,,1,1.000000,SAFE,0,current,50000,130.3418,0.86658263,-0.42414510,1.03158152,-0.11517242,1.57084405,0.86657166,-0.01437008,0.02122091,0.03325202,0.01214226,0.00000000,-0.01456467
45,5.913373,1786367580.461974,2654,50000,0,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,16,3,0,0.627201,0.394336,0.000298,0.000693,1.631844,40,0.040546,,,,,0,,SAFE,SAFE,,0.393144,,,1,1.000000,SAFE,0,current,50000,131.8090,0.86418009,-0.42065677,1.03692949,-0.11332373,1.57084405,0.86418372,-0.01857883,0.02697521,0.04135573,0.01429583,0.00000000,-0.01846590
46,6.045097,1786367580.593801,2698,50000,0,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,19,3,0,0.755009,0.391834,0.000394,0.000646,1.756075,43,0.040004,,,,,0,,SAFE,SAFE,,0.391144,,,1,1.000000,SAFE,0,current,50000,128.7313,0.86170787,-0.41704011,1.04237652,-0.11147504,1.57084405,0.86167848,-0.01876811,0.02745624,0.04135166,0.01403457,0.00000000,-0.01901880
