t_s,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad
8.10453400,0.27626854,-0.14431857,1.41297579,-0.01347633,1.57079637,0.27627587
8.14602000,0.27487835,-0.14442860,1.41286564,-0.01349468,1.57079637,0.27490035
8.18787500,0.27347717,-0.14452764,1.41275573,-0.01351668,1.57079637,0.27352852
8.22930000,0.27192926,-0.14464135,1.41261625,-0.01353869,1.57079637,0.27196959
8.27098700,0.27056110,-0.14476240,1.41249526,-0.01356070,1.57079637,0.27057576
8.31252700,0.26917824,-0.14486878,1.41237414,-0.01357904,1.57079637,0.26920760
8.35394900,0.26760465,-0.14498615,1.41222382,-0.01360105,1.57079637,0.26766333
8.39536900,0.26621449,-0.14510719,1.41208076,-0.01362306,1.57079637,0.26626584
8.43687700,0.26484630,-0.14521357,1.41194499,-0.01364140,1.57079637,0.26484996
8.47810300,0.26346344,-0.14533462,1.41179824,-0.01366707,1.57079637,0.26347080
8.51981900,0.26188251,-0.14546299,1.41163695,-0.01368908,1.57079637,0.26190820
8.56129700,0.26047769,-0.14558403,1.41147923,-0.01371476,1.57079637,0.26051435
8.60280400,0.25910950,-0.14570875,1.41132522,-0.01373676,1.57079637,0.25910950
8.64426200,0.25755793,-0.14585179,1.41115642,-0.01376244,1.57079637,0.25754327
8.68554200,0.25616407,-0.14597283,1.41100240,-0.01378445,1.57079637,0.25617141
8.72669200,0.25476289,-0.14611223,1.41084838,-0.01381379,1.57079637,0.25476289
8.76858900,0.25337636,-0.14624062,1.41070163,-0.01383947,1.57079637,0.25336537
8.80976900,0.25183213,-0.14639834,1.41052556,-0.01387248,1.57079637,0.25181380
8.85092300,0.25043461,-0.14653772,1.41036415,-0.01389816,1.57079637,0.25044197
8.89229300,0.24903710,-0.14668445,1.41019177,-0.01392383,1.57079637,0.24907011
8.93378700,0.24747451,-0.14684950,1.40999734,-0.01395685,1.57079637,0.24749653
8.97528600,0.24609534,-0.14699621,1.40982127,-0.01398252,1.57079637,0.24610634
9.01715900,0.24470516,-0.14715761,1.40964508,-0.01401187,1.57079637,0.24472716
9.05854000,0.24330030,-0.14730433,1.40945816,-0.01403754,1.57079637,0.24335165
9.09997600,0.24172305,-0.14749141,1.40924168,-0.01407422,1.57080007,0.24177440
