x_m,y_m,z_m
0.5352882467901787,-0.018946585039881905,0.3237318785887396
0.5466068992555074,-0.03562330927284193,0.4464032908835276
0.604019000415914,-0.07307205566750716,0.337380664223117
0.5891139503696204,-0.07406042199111247,0.4164103369644661
0.5457700796405952,-0.1321742851706047,0.45088802510469334
0.5102937485210662,-0.15298283133009571,0.45232520551531796
0.5887574369923478,-0.04015349336976855,0.3990401072890051
0.5915019621283928,-0.09300714853927568,0.3379974574586124
0.5817538218389521,-0.11328391160539013,0.4316504976658919
0.5887494090029054,-0.09171551039324462,0.4189677625773043
0.5853169833685334,-0.040797048960068055,0.31821198355430036
0.5553394733206154,-0.17626285149516654,0.4427326129137609
0.5503593998240371,-0.1112152160961855,0.4507941971661185
0.5886404254005402,-0.052507012742685245,0.35678443983837
0.5820820700708124,-0.1839429196236974,0.34975434043306586
0.5811144972119572,-0.09421271959427459,0.43071456996069185
0.5700600800616913,-0.035757670129886496,0.3525236975699265
0.5310062947851936,-0.09353453741486523,0.4556728634427524
0.5101509257146525,-0.15855375701094873,0.44548519348074817
0.5945002207448435,-0.09910035280125387,0.3185939067828387
0.6011641740009732,-0.09595235279466754,0.2760331401671138
0.5861844092253252,-0.05392464344555238,0.43911181620907136
0.5984038134241685,-0.04571539793963303,0.3051561959452411
0.604031298313768,-0.07474552588404294,0.39947361283931004
0.5665883459923688,-0.18674074158950552,0.3762377199018716
0.5952402177365369,-0.14039317126619646,0.30150436053221447
0.5666234728143147,-0.17168129537953228,0.4375124186438484
0.5110982157720979,-0.0919557537756962,0.4571377378026317
0.5679178658490771,-0.0391529245249822,0.4369929731120931
0.5293719067034022,-0.07241478854952775,0.45315594253815134
0.6013785463533381,-0.08424736031401639,0.3377888522045762
0.5720446629349358,-0.178216190732625,0.38219151362291026
0.5899942905951165,-0.03263907875369624,0.2764416640259481
0.4919536762404056,-0.07083113482978669,0.4532147413745151
