frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
30,5.239795,1786951058.509102,2433,50000,0,2433,42,1631,0.017263,0.223589,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,37,4,0,1.496260,0.377040,0.000201,0.000349,2.534425,62,0.034608,,,,,,,,0,0,,SAFE,SAFE,,0.375939,0.485639,,0,1.000000,SAFE,1,current,50000,182.1510,0.97323793,-0.20657967,1.33665884,-0.02755056,1.57079256,0.97321218,-0.01919988,0.02789371,0.03553689,0.00770475,0.00000000,-0.01940610
31,5.421935,1786951058.691285,2469,50000,0,2469,37,1701,0.014986,0.225290,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,42,5,0,1.703766,0.372836,0.000398,0.000664,2.741887,67,0.035096,,,,,,,,0,0,,SAFE,SAFE,,0.372231,0.454033,,0,1.000000,SAFE,1,current,50000,175.2232,0.96974957,-0.20164616,1.34286499,-0.02627775,1.57079256,0.96974957,-0.01915203,0.02708625,0.03407343,0.00698804,0.00000000,-0.01901066
32,5.597468,1786951058.866526,2467,50000,0,2467,22,1696,0.008918,0.225261,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,46,4,0,1.869865,0.369541,0.000100,0.000341,2.908046,71,0.034534,,,,,,,,0,0,,SAFE,SAFE,,0.368522,0.444860,,0,1.000000,SAFE,1,current,50000,177.0471,0.96635294,-0.19689241,1.34886968,-0.02510032,1.57079256,0.96635664,-0.01935039,0.02708184,0.03420836,0.00670779,0.00000000,-0.01932934
33,5.771009,1786951059.043592,2509,50000,0,2509,21,1799,0.008370,0.222947,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,50,4,0,2.036169,0.366228,0.000004,0.000015,3.074448,75,0.033834,,,,,,,,0,0,,SAFE,SAFE,,0.364937,0.441203,,0,1.000000,SAFE,1,current,50000,182.8585,0.96289772,-0.19213866,1.35480082,-0.02390454,1.57079256,0.96289772,-0.01991009,0.02739265,0.03417712,0.00689046,0.00000000,-0.01993139
34,5.955861,1786951059.226470,2475,50000,0,2475,28,1748,0.011313,0.224010,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,54,4,0,2.202386,0.362933,0.000406,0.000492,3.240574,79,0.032770,,,,,,,,0,0,,SAFE,SAFE,,0.361627,0.415508,,0,1.000000,SAFE,1,current,50000,181.1045,0.95923334,-0.18716113,1.36099982,-0.02263907,1.57079256,0.95925903,-0.01982332,0.02692712,0.03353500,0.00684587,0.00000000,-0.01968435
35,6.137828,1786951059.407605,2435,50000,0,2435,36,1722,0.014784,0.222684,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,59,5,0,2.410167,0.358739,0.000098,0.000191,3.448258,84,0.033086,,,,,,,,0,0,,SAFE,SAFE,,0.358046,0.412071,,0,1.000000,SAFE,1,current,50000,171.5699,0.95554334,-0.18223131,1.36708140,-0.02144696,1.57079256,0.95554334,-0.02027845,0.02709190,0.03342139,0.00655124,0.00000000,-0.02041963
36,6.308163,1786951059.579195,2510,50000,0,2510,32,1752,0.012749,0.223640,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,63,4,0,2.575769,0.355428,0.000000,0.000026,3.613459,88,0.032572,,,,,,,,0,0,,SAFE,SAFE,,0.354331,0.414821,,0,1.000000,SAFE,1,current,50000,168.7113,0.95209908,-0.17772329,1.37262368,-0.02042358,1.57079256,0.95211005,-0.02022040,0.02646551,0.03253740,0.00600802,0.00000000,-0.02015601
37,6.479888,1786951059.747925,2492,50000,0,2492,73,1701,0.029294,0.225974,1,0,0,,,,,,,,,,,no_stable_track,RUNNING,1,67,4,0,2.741887,0.352142,0.000105,0.000150,3.779311,92,0.032092,,,,,,,,0,0,,SAFE,SAFE,,0.351230,0.410666,,0,1.000000,SAFE,1,current,50000,166.4531,0.94866210,-0.17325564,1.37811112,-0.01943321,1.57079256,0.94862545,-0.02001456,0.02601644,0.03195498,0.00576719,0.00000000,-0.02029189
38,6.643554,1786951059.914397,2552,50000,1,2552,86,1828,0.033699,0.223656,1,0,0,0.416743,upperArm_Link,0,0.592784,-0.482985,0.349305,,,,,no_stable_track,RUNNING,1,71,4,0,2.908046,0.348719,0.000001,0.000026,3.945146,96,0.031673,0.000000,0.000000,0.000000,0.000000,0.089146,1,0.020749,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.347623,0.416119,,0,1.000000,SAFE,1,current,50000,161.1806,0.94523984,-0.16894938,1.38337851,-0.01849053,1.57079256,0.94525081,-0.02090997,0.02631118,0.03218364,0.00575979,0.00000000,-0.02061899
39,6.804497,1786951060.075595,2496,50000,1,2496,108,1752,0.043269,0.224309,1,0,0,0.385424,upperArm_Link,0,0.580277,-0.473395,0.375325,,,,,no_stable_track,RUNNING,1,75,4,0,3.074448,0.345436,0.000098,0.000180,4.111125,100,0.031457,0.191581,-0.191253,0.011037,0.001957,0.096104,2,0.017827,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.344538,0.384388,,0,1.000000,SAFE,1,current,50000,174.6286,0.94195694,-0.16480450,1.38845503,-0.01757719,1.57079256,0.94193858,-0.02039797,0.02575374,0.03154245,0.00567493,0.00000000,-0.02058018
