condition,trial,direction,t_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_act_1,q_act_2,q_act_3,q_act_4,q_act_5,q_act_6,qd_ref_1,qd_ref_2,qd_ref_3,qd_ref_4,qd_ref_5,qd_ref_6,qd_act_1,qd_act_2,qd_act_3,qd_act_4,qd_act_5,qd_act_6,qdd_act_1,qdd_act_2,qdd_act_3,qdd_act_4,qdd_act_5,qdd_act_6,control_period_ms,status_delay_ms,rgbd_delay_ms,online_min_clearance_m,risk_state,speed_scale,hold,completed
B1_no_obstacle_nubs,0,forward,0.660000,0.00494321,-0.59653975,1.39555111,0.00395457,0.99653975,-0.00346025,0.00470731,-0.59398476,1.39830793,0.00637835,0.99663928,-0.00448652,0.02148579,0.01504005,-0.01933721,0.01718863,-0.01504005,-0.01504005,-0.03347208,0.02674538,-0.01399116,0.06106813,0.01154133,-0.04829895,2.25598693,-0.79330408,-5.08272648,-2.86539730,3.29243065,4.45673442,21.2932,8.3946,18.8695,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.680000,0.00538486,-0.59623060,1.39515362,0.00430789,0.99623060,-0.00376940,0.00469280,-0.59563748,1.39587371,0.00792890,0.99672644,-0.00363390,0.02268356,0.01587850,-0.02041521,0.01814685,-0.01587850,-0.01587850,0.07661065,0.01124623,-0.14076574,-0.02310884,0.05950585,0.10057112,2.77290791,-0.35857140,-0.64454101,-3.06712314,1.28636036,-0.01046250,18.5230,13.1106,9.5036,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.700000,0.00585072,-0.59590450,1.39473435,0.00468058,0.99590450,-0.00409550,0.00777174,-0.59353491,1.39267730,0.00545399,0.99901951,-0.00046367,0.02390634,0.01673444,-0.02151571,0.01912507,-0.01673444,-0.01673444,0.07744424,0.01240252,-0.03977280,-0.06161680,0.06299574,-0.04871745,-2.00131628,-1.62179615,6.24671755,0.49618211,-2.84257263,-4.04854346,21.9421,10.8444,9.8258,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.720000,0.00634128,-0.59556110,1.39429285,0.00507302,0.99556110,-0.00443890,0.00779057,-0.59514138,1.39428280,0.00546423,0.99924627,-0.00558260,0.02515354,0.01760748,-0.02263818,0.02012283,-0.01760748,-0.01760748,-0.00344200,-0.05362562,0.10910296,-0.00326156,-0.05419705,-0.06137062,-1.29467926,-1.02319984,3.30024409,3.08300083,-3.37425760,3.17465758,22.4301,11.1399,18.4915,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.740000,0.00685702,-0.59520009,1.39382868,0.00548562,0.99520009,-0.00479991,0.00763406,-0.59567993,1.39704142,0.00532353,0.99685163,-0.00291850,0.02642457,0.01849720,-0.02378212,0.02113966,-0.01849720,-0.01849720,0.02565707,-0.02852547,0.09223696,0.06170323,-0.07197456,0.07826886,1.21423611,1.74539333,-6.45935490,-0.11948418,-0.38849922,0.41689159,16.7241,13.8268,14.5891,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.760000,0.00739842,-0.59482111,1.39334142,0.00591873,0.99482111,-0.00517889,0.00881686,-0.59628240,1.39797227,0.00793235,0.99636729,-0.00245185,0.02771888,0.01940321,-0.02494699,0.02217510,-0.01940321,-0.01940321,0.04512744,0.01619012,-0.14927124,-0.00804093,-0.06973702,-0.04469496,0.47970183,4.11147826,-6.19068710,-2.23490750,1.59444482,-5.27473484,20.4893,13.1305,22.9786,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.780000,0.00796593,-0.59442385,1.39283067,0.00637274,0.99442385,-0.00557615,0.00943916,-0.59503233,1.39107057,0.00500190,0.99406215,-0.00470630,0.02903587,0.02032511,-0.02613229,0.02322870,-0.02032511,-0.02032511,0.04484514,0.13593366,-0.15539052,-0.02769307,-0.00819677,-0.13272054,-0.34313939,3.12541148,4.41355905,3.79285655,4.08047468,0.42532283,19.7195,16.4066,17.3687,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.800000,0.00856000,-0.59400800,1.39229600,0.00684800,0.99400800,-0.00599200,0.01061066,-0.59084505,1.39175665,0.00682463,0.99603942,-0.00776067,0.03037500,0.02126250,-0.02733750,0.02430000,-0.02126250,-0.02126250,0.03140187,0.14120658,0.02727112,0.14367333,0.09348196,-0.02768204,-1.94053406,-3.54244861,3.33228183,1.97049078,-0.32294920,3.23038241,19.4449,10.4007,23.2128,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.820000,0.00918107,-0.59357325,1.39173704,0.00734486,0.99357325,-0.00642675,0.01069523,-0.58938407,1.39216142,0.01074883,0.99780143,-0.00581358,0.03173569,0.02221498,-0.02856212,0.02538855,-0.02221498,-0.02221498,-0.03277622,-0.00576428,-0.02209925,0.05112656,-0.02111474,-0.00350524,-0.59209495,-6.83844904,-3.74236685,-2.60719176,-3.52644482,2.78931957,23.4514,13.2168,12.6909,,SAFE,1.000,0,1
B1_no_obstacle_nubs,0,forward,0.840000,0.00982957,-0.59311930,1.39115339,0.00786365,0.99311930,-0.00688070,0.00929961,-0.59107562,1.39087268,0.00886969,0.99519483,-0.00790088,0.03311738,0.02318216,-0.02980564,0.02649390,-0.02318216,-0.02318216,0.00771807,-0.13233139,-0.12242355,0.03938566,-0.04757583,0.08389074,4.48472994,0.68569338,2.61283673,0.30486398,-1.59553763,-0.42107105,21.8903,9.9674,19.1451,,SAFE,1.000,0,1
