frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
62,8.159908,1786351470.320164,2755,50000,1,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.347843,,,1,1.000000,SAFE,0,current,50000,132.9182,0.81871116,-0.36113569,1.12584984,-0.08373741,1.57083666,0.81868923,-0.02031395,0.02412085,0.03551514,0.01152797,0.00000000,-0.02041995
63,8.286316,1786351470.453113,2657,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.345333,,,1,1.000000,SAFE,0,current,50000,128.5405,0.81599313,-0.35799587,1.13054132,-0.08232889,1.57083666,0.81600422,-0.02150203,0.02483878,0.03711376,0.01114267,0.00000000,-0.02124080
64,8.416434,1786351470.581683,2762,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.342333,,,1,1.000000,SAFE,0,current,50000,129.9097,0.81326783,-0.35483402,1.13506031,-0.08094238,1.57084036,0.81324953,-0.02094492,0.02429991,0.03473000,0.01065581,0.00002840,-0.02117075
65,8.548128,1786351470.711623,2779,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.339835,,,1,1.000000,SAFE,0,current,50000,128.4175,0.81053513,-0.35174921,1.13961232,-0.07952285,1.57083666,0.81052047,-0.02075026,0.02342398,0.03456490,0.01077896,-0.00002806,-0.02072265
66,8.673619,1786351470.840074,2634,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.337340,,,1,1.000000,SAFE,0,current,50000,129.3589,0.80786484,-0.34874144,1.14388561,-0.07813267,1.57083666,0.80788684,-0.02127868,0.02396796,0.03405253,0.01107791,0.00000000,-0.02098657
67,8.806616,1786351470.969468,2749,50000,1,0,0,0.466937,upperArm_Link,0,0.625806,-0.622577,0.337977,,,,,no_stable_track,SAFE,SAFE,,0.334843,0.466098,,0,1.000000,SAFE,1,current,50000,156.3795,0.80500376,-0.34556127,1.14846694,-0.07673148,1.57083666,0.80500376,-0.02151240,0.02391165,0.03444691,0.01053548,0.00000000,-0.02167777
68,8.963526,1786351471.125879,2787,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.331738,,,1,1.000000,SAFE,0,current,50000,130.7077,0.80166590,-0.34193724,1.15363514,-0.07517257,1.57084036,0.80169153,-0.02127250,0.02309624,0.03293743,0.00993511,0.00002355,-0.02110916
69,9.089576,1786351471.256616,2683,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.329238,,,1,1.000000,SAFE,0,current,50000,132.1384,0.79900283,-0.33901748,1.15783513,-0.07392177,1.57083666,0.79898089,-0.02112702,0.02316341,0.03331978,0.00992296,-0.00002932,-0.02150437
70,9.228177,1786351471.388785,2717,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.326623,,,1,1.000000,SAFE,0,current,50000,132.1152,0.79594374,-0.33578596,1.16251171,-0.07249491,1.57083666,0.79596204,-0.02207132,0.02331545,0.03374152,0.01029480,0.00000000,-0.02178104
71,9.354824,1786351471.520920,2762,50000,0,0,0,,,,,,,,,,,no_stable_track,SAFE,SAFE,,0.323543,,,1,1.000000,SAFE,0,current,50000,129.6257,0.79324776,-0.33292857,1.16657603,-0.07125144,1.57083666,0.79321837,-0.02128729,0.02256177,0.03209166,0.00981833,0.00000000,-0.02166380
