frame,t_s,timestamp,scene_points,robot_points,cluster_count,raw_point_count,roi_point_count,safety_roi_point_count,rho_retain,table_z_m,table_plane_valid,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,trigger_horizon_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_velocity_x_m_s,predicted_object_velocity_y_m_s,predicted_object_velocity_z_m_s,predicted_object_raw_speed_m_s,predicted_object_filtered_speed_m_s,predicted_object_raw_velocity_x_m_s,predicted_object_raw_velocity_y_m_s,predicted_object_raw_velocity_z_m_s,predicted_object_velocity_ema_alpha,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_prediction_ready,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
30,5.308962,1787103508.351844,2436,50000,0,2436,33,1730,0.013547,0.224448,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,40,4,0,1.620678,0.374536,0.000300,0.000528,2.658917,65,0.034252,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.373433,0.423045,,0,1.000000,SAFE,1,current,50000,172.0301,0.97071064,-0.20301434,1.34109330,-0.02661154,1.57079637,0.97072893,-0.01943702,0.02749848,0.03486375,0.00724289,0.00000000,-0.01923255
31,5.485076,1787103508.523892,2570,50000,0,2570,42,1786,0.016342,0.223149,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,45,5,0,1.828318,0.370337,0.000403,0.000719,2.866533,70,0.034795,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.369742,0.417358,,0,1.000000,SAFE,1,current,50000,178.2838,0.96734333,-0.19823125,1.34717131,-0.02543411,1.57079637,0.96732867,-0.01911994,0.02715895,0.03451160,0.00668562,0.00000000,-0.01930710
32,5.660633,1787103508.702194,2505,50000,0,2505,32,1757,0.012774,0.224444,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,49,4,0,1.994676,0.367024,0.000201,0.000345,3.032850,74,0.034234,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.366032,0.405659,,0,1.000000,SAFE,1,current,50000,171.0840,0.96388811,-0.19348115,1.35311353,-0.02424200,1.57079637,0.96389538,-0.01968151,0.02705737,0.03384790,0.00679044,0.00000000,-0.01955657
33,5.827156,1787103508.873308,2510,50000,0,2510,42,1747,0.016733,0.225034,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,53,4,0,2.160510,0.363737,0.000202,0.000323,3.198997,78,0.033885,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.363037,0.433153,,0,1.000000,SAFE,1,current,50000,172.8991,0.96063823,-0.18904650,1.35861921,-0.02310491,1.57079637,0.96064186,-0.01951616,0.02663088,0.03306265,0.00682843,0.00000000,-0.01953800
34,6.002317,1787103509.046230,2543,50000,0,2543,75,1831,0.029493,0.222911,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,57,4,0,2.327031,0.360436,0.000097,0.000015,3.365223,82,0.033207,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.358737,0.383319,,0,1.000000,SAFE,1,current,50000,184.2378,0.95712793,-0.18437342,1.36438537,-0.02194581,1.57079637,0.95717555,-0.02004037,0.02667872,0.03291911,0.00661732,0.00000000,-0.01978924
35,6.188240,1787103509.230484,2415,50000,0,2415,65,1733,0.026915,0.224312,1,0,0,,,,,,,,,,1.200,,no_stable_track,RUNNING,1,61,4,0,2.493019,0.357048,0.000407,0.000646,3.530943,86,0.031945,,,,,,,,,,,,,,0,0,,SAFE,SAFE,,0.355123,0.373086,,0,1.000000,SAFE,1,current,50000,183.1299,0.95332420,-0.17931156,1.37061000,-0.02076471,1.57079637,0.95334983,-0.02045868,0.02722567,0.03347971,0.00635267,0.00000000,-0.02057698
36,6.373447,1787103509.413633,2499,50000,1,2499,108,1750,0.043217,0.224682,1,0,0,0.364807,upperArm_Link,0,0.530610,-0.473231,0.371725,,,,1.200,,no_stable_track,RUNNING,1,66,5,0,2.700459,0.352932,0.000002,0.000015,3.737831,91,0.032308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000,0.091953,1,0.013248,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.352040,0.354070,,0,1.000000,SAFE,1,current,50000,177.7526,0.94957179,-0.17441840,1.37663662,-0.01969364,1.57079637,0.94955343,-0.02026061,0.02641990,0.03253992,0.00578306,0.00000000,-0.02049812
37,6.551259,1787103509.591404,2640,50000,1,2640,132,1901,0.050000,0.222803,1,0,0,0.353219,upperArm_Link,0,0.536947,-0.464139,0.375342,,,,1.200,,no_stable_track,RUNNING,1,70,4,0,2.866533,0.349627,0.000201,0.000305,3.903754,95,0.031596,0.044463,0.007941,0.043537,-0.004296,0.068404,0.044463,0.012217,0.066979,-0.006609,0.650,0.101724,2,0.019276,0,0,"age_ok,speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,,0.348325,0.330792,,0,1.000000,SAFE,1,current,50000,179.8264,0.94597340,-0.16986270,1.38227081,-0.01868860,1.57079637,0.94597340,-0.02023702,0.02562085,0.03168616,0.00565225,0.00000000,-0.02013378
38,6.725999,1787103509.771249,2616,50000,1,2616,145,1821,0.055428,0.223937,1,1,0,0.379832,upperArm_Link,0,0.545522,-0.463282,0.383362,,,,1.200,,predicted_track_not_dynamic,RUNNING,1,74,4,0,3.032850,0.346340,0.000395,0.000462,4.069530,99,0.030914,0.061670,0.044907,0.040209,0.013029,0.078517,0.061670,0.064711,0.038472,0.022302,0.650,0.100279,3,0.011697,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.013039,0.344738,0.351005,,0,1.000000,SAFE,1,current,50000,173.3068,0.94237870,-0.16534370,1.38780951,-0.01769457,1.57079637,0.94235677,-0.02057170,0.02586130,0.03169683,0.00568866,0.00000000,-0.02069722
39,6.900976,1787103509.944574,2527,50000,1,2527,167,1809,0.066086,0.225021,1,1,0,0.331389,upperArm_Link,0,0.544983,-0.450860,0.371272,,,,1.200,,predicted_track_not_dynamic,RUNNING,1,79,5,0,3.240574,0.342138,0.000298,0.000502,4.277571,104,0.031589,0.068413,0.030471,0.061143,0.003665,0.080886,0.068413,0.011774,0.079676,-0.007458,0.650,0.103730,4,0.027912,0,0,"speed_history_ready,speed_ok,valid_streak_not_ready",SAFE,SAFE,0.023264,0.341042,0.328061,,0,1.000000,SAFE,1,current,50000,175.9696,0.93871075,-0.16082102,1.39326751,-0.01670420,1.57079637,0.93871444,-0.02096246,0.02584727,0.03119264,0.00565998,0.00000000,-0.02081598
