frame,t_s,timestamp,scene_points,robot_points,cluster_count,stable_track_count,risk_sphere_count,nearest_distance_m,nearest_link,nearest_cluster_index,nearest_cluster_x,nearest_cluster_y,nearest_cluster_z,predicted_distance_m,predicted_nearest_link,predicted_tau_s,predicted_object_id,trigger_block_reason,reference_state,reference_armed,reference_index,reference_index_step,reference_step_clamped,reference_time_s,reference_tcp_y_m,reference_actual_y_error_m,reference_joint_match_max_rad,reference_future_time_s,reference_future_index,reference_future_delta_q_max_rad,predicted_object_speed_m_s,predicted_object_radius_m,predicted_object_age,predicted_object_association_error_m,dynamic_object_valid,dynamic_object_block_reason,risk_state_current,risk_state_predicted,max_track_speed_m_s,motion_y_m,guard_distance_m,guard_object_id,guard_in_motion_direction,guard_speed_scale,guard_decision,guard_cluster_count,guard_robot_points_source,guard_robot_points_count,elapsed_ms,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,qd1_rad_s,qd2_rad_s,qd3_rad_s,qd4_rad_s,qd5_rad_s,qd6_rad_s
32,4.252582,1786367421.305619,2573,50000,1,1,1,0.385410,right_link,0,0.701521,0.492248,0.363674,0.284189,right_link,0.000,24,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.092098,0.128400,6,0.045240,1,,SAFE,SAFE,0.077950,,,,0,1.000000,,,,,132.4477,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
33,4.384338,1786367421.438081,2502,50000,1,1,1,0.396205,right_link,0,0.700614,0.503799,0.368311,0.307121,right_link,0.000,24,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.035851,0.108139,7,0.040231,1,,SAFE,SAFE,0.063678,,,,0,1.000000,,,,,120.7989,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
34,4.503967,1786367421.558895,2591,50000,2,1,1,0.396909,right_link,0,0.703481,0.498139,0.364996,0.293722,right_link,0.000,24,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.040673,0.121964,8,0.050709,1,,SAFE,SAFE,0.055696,,,,0,1.000000,,,,,135.3463,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
35,4.639282,1786367421.694256,2398,50000,2,1,1,0.404693,right_link,0,0.720353,0.492962,0.358101,0.302143,right_link,0.000,24,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.086749,0.091990,9,0.033874,1,,SAFE,SAFE,0.023954,,,,0,1.000000,,,,,132.4456,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
36,4.771153,1786367421.826717,2408,50000,2,2,1,0.408303,right_link,0,0.723666,0.493039,0.361185,0.315229,right_link,0.000,24,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.070475,0.112943,10,0.040222,1,,SAFE,SAFE,0.010339,,,,0,1.000000,,,,,128.1188,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
37,4.900237,1786367421.954849,2433,50000,2,2,1,0.392120,right_link,1,0.729200,0.490515,0.358457,0.292664,right_link,0.000,24,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.058143,0.124521,11,0.045384,1,,SAFE,SAFE,0.016107,,,,0,1.000000,,,,,133.8380,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
38,5.033649,1786367422.088701,2495,50000,1,1,0,0.465125,left_link,0,0.662937,-0.556815,0.382047,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.026998,0.135719,5,0.019905,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,132.0489,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
39,5.166294,1786367422.220765,2553,50000,1,1,0,0.455882,left_link,0,0.660441,-0.559976,0.383929,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.028968,0.134455,6,0.025358,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,131.6537,0.35286063,-0.14277799,1.41473997,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00002696,0.00000000,0.00000000,0.00000000
40,5.297957,1786367422.352433,2556,50000,1,1,0,0.454694,left_link,0,0.664152,-0.553583,0.390283,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.047076,0.129093,7,0.016532,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.015893,,,,0,1.000000,,,,,130.5295,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,-0.00002716,0.00000000,0.00000000,0.00000000
41,5.434388,1786367422.482977,2392,50000,1,1,0,0.441924,left_link,0,0.660793,-0.548669,0.385194,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.044048,0.136254,8,0.029281,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.019794,,,,0,1.000000,,,,,131.0003,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
42,5.559650,1786367422.613993,2451,50000,1,1,0,0.435267,left_link,0,0.662263,-0.543185,0.384374,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.025164,0.137152,9,0.028816,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,132.1244,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
43,5.690062,1786367422.746131,2331,50000,1,1,0,0.423812,left_link,0,0.665120,-0.542140,0.390592,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.075995,0.132769,10,0.021385,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.019212,,,,0,1.000000,,,,,129.5765,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
44,5.821717,1786367422.875723,2414,50000,1,1,0,0.412667,left_link,0,0.662553,-0.537479,0.390427,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.041949,0.136852,11,0.030757,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.021805,,,,0,1.000000,,,,,121.2347,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
45,5.948940,1786367422.996972,2422,50000,1,1,0,0.406152,left_link,0,0.660481,-0.525591,0.391766,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.041047,0.136459,12,0.023764,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.025720,,,,0,1.000000,,,,,136.9264,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
46,6.079693,1786367423.133913,2395,50000,1,1,0,0.397174,left_link,0,0.665339,-0.521048,0.388697,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.061643,0.135546,13,0.031767,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.029986,,,,0,1.000000,,,,,133.8428,0.35286063,-0.14277799,1.41473997,-0.01317556,1.57090271,0.35286430,0.00000000,0.00000000,0.00002735,0.00000000,0.00005561,-0.00002826
47,6.215402,1786367423.267779,2439,50000,1,1,0,0.396531,left_link,0,0.661515,-0.518259,0.389187,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.058753,0.138618,14,0.028191,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.030741,,,,0,1.000000,,,,,129.8261,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,-0.00002635,0.00000000,-0.00005358,0.00002723
48,6.349832,1786367423.397621,2398,50000,1,1,0,0.387217,left_link,0,0.665257,-0.519305,0.394794,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.049924,0.135143,15,0.021009,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.033874,,,,0,1.000000,,,,,131.1829,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
49,6.474226,1786367423.528818,2402,50000,1,1,0,0.377363,left_link,0,0.661917,-0.516202,0.399083,,,,,dynamic_track_audit_only,RUNNING,1,0,0,0,0.000000,,,,0.000000,0,,0.005316,0.139316,16,0.032268,0,"speed_ok,valid_streak_not_ready",SAFE,SAFE,0.000000,,,,0,1.000000,,,,,130.0245,0.35286063,-0.14277799,1.41473639,-0.01317556,1.57089543,0.35286799,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
