condition,frame,host_read_start_s,camera_timestamp_s,host_receive_timestamp_s,state_host_timestamp_s,frame_valid,error_message,raw_points,cropped_points,downsampled_points,scene_points_after_self_filter,robot_surface_points,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,preprocess_ms,state_fk_ms,self_filter_ms,end_to_end_ms,risk_state,hold
start,62,1785915491.737380,1785915491.703533,1785915491.755201,1785915491.811548,1,,861761,36928,3363,2510,50000,-0.09148429,-0.04078114,1.52892947,-0.00107840,1.57079637,-0.09148429,26.1760,0.8490,10.9929,85.6417,SAFE,0
start,63,1785915491.823082,1785915491.770163,1785915491.840801,1785915491.899159,1,,864867,36745,3442,2609,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.6636,1.0818,10.9001,87.4403,SAFE,0
start,64,1785915491.910584,1785915491.870106,1785915491.928465,1785915491.985926,1,,863855,36900,3495,2626,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.5258,0.9254,11.1241,86.7807,SAFE,0
start,65,1785915491.997425,1785915491.936734,1785915492.015165,1785915492.074898,1,,865432,37228,3439,2599,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.3921,1.1572,10.3477,88.2846,SAFE,0
start,66,1785915492.085769,1785915492.036817,1785915492.103624,1785915492.160343,1,,863499,36946,3374,2533,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.2902,0.8275,11.1086,86.1438,SAFE,0
start,67,1785915492.171973,1785915492.136901,1785915492.189688,1785915492.249690,1,,865557,37007,3511,2657,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,29.0027,0.8349,10.8701,89.0494,SAFE,0
start,68,1785915492.261083,1785915492.203625,1785915492.278854,1785915492.335127,1,,861444,36994,3359,2515,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.2674,0.8251,11.0187,85.5223,SAFE,0
start,69,1785915492.346674,1785915492.303713,1785915492.364696,1785915492.422035,1,,863867,36756,3350,2511,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.8394,0.8330,10.9596,86.7917,SAFE,0
start,70,1785915492.433528,1785915492.370439,1785915492.451359,1785915492.509401,1,,863897,36801,3472,2590,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.6636,1.1819,11.0129,87.3628,SAFE,0
start,71,1785915492.520952,1785915492.470530,1785915492.538903,1785915492.597929,1,,864149,36875,3354,2499,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.3903,1.1109,10.4065,87.8558,SAFE,0
